feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,target
1.0,7.0,0.0,9003.0,1.0,3.0,130.0,1.0,1.0,37.0,4.0,9.0,130.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,10.0,17.0,28.0,17.0,13.15,2.0,8.0,12.0,22.0,12.0,1.32143e+16,0.0,15.5,2.8,-4.06,3
1.0,1.0,2.0,9254.0,1.0,1.0,140.0,1.0,1.0,37.0,4.0,5.0,123.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,10.0,6.0,1.28571428571428e+16,0.0,0.0,6.0,6.0,3.0,1.26667e+16,0.0,12.7,3.7,-1.7,3
1.0,44.0,1.0,9003.0,1.0,39.0,140.0,1.0,4.0,4.0,4.0,2.0,120.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,6.0,13.0,5.0,13.0,0.0,0.0,6.0,13.0,2.0,11.5,0.0,12.4,0.5,1.79,2
1.0,17.0,1.0,9070.0,1.0,1.0,132.0,1.0,37.0,38.0,9.0,7.0,138.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,1.36666666666666e+16,0.0,0.0,6.0,6.0,6.0,12.0,0.0,12.4,0.5,1.79,3
1.0,7.0,1.0,9500.0,1.0,3.0,125.48715309207408,1.0,37.0,37.0,6.743576546037043,5.0,125.48715309207408,0.0,0.0,0.45128469079259137,0.5487153092074086,0.0,0.0,32.38972247365927,0.0,0.0,7.0,7.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,0.0,7.0,15.16204521117704,0.0292291855244452,-0.1483031787446687,1
1.0,1.0,1.0,9085.0,1.0,1.0,135.0,1.0,3.0,2.0,1.0,1.0,133.6,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,5.0,12.0,4.0,14.6,3.0,0.0,5.0,5.0,4.0,12.75,1.0,9.4,-0.8,-3.12,1
1.0,17.60514379477295,1.0,9253.6276038186,1.0,1.0,122.0,1.0,19.0,19.0,5.0,5.0,118.10922843078406,0.023274761337421124,0.0,0.0,1.0,0.0,0.9767252386625789,20.04654952267484,0.0,0.11637380668710584,6.0930990453496845,10.116373806687106,4.0930990453496845,11.244181309665645,0.0,0.04654952267484225,6.023274761337421,6.232747613374212,5.976725238662579,10.516292332936194,0.0,12.330175715987737,0.46974281026135256,1.6757209218332623,2
1.0,5.0,2.0,9238.0,1.0,1.0,123.0,1.0,40.0,38.0,2.0,9.0,118.1,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,1.33333e+16,0.0,8.9,1.4,3.51,3
1.0,3.0200605246818153,1.5050151311704538,9670.0,1.0,1.0,132.07734435937982,1.0,3.2725680902670424,36.116223520451705,8.747492434414774,9.621238651622159,136.39917207447218,0.12625378279261346,0.0,0.0,1.0,0.8737462172073865,0.12625378279261346,20.747492434414774,0.0,0.0,5.873746217207387,6.252507565585227,4.747492434414773,12.50961629957699,0.0,0.0,5.873746217207387,8.621238651622159,4.873746217207387,12.186873108603693,0.12625378279261346,10.395987895063637,1.5515045393511362,1.5607196284344889,2
1.0,42.0,1.0,9500.0,1.0,1.0,168.0,1.0,37.0,1.0,9.0,4.0,133.4,1.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,20.0,26.0,27.0,26.0,1507777777777770.0,0.0,14.0,17.0,17.0,17.0,1.50235e+16,0.0,15.5,2.8,-4.06,3
1.0,1.0,3.0,9238.0,1.0,1.0,133.1,1.0,1.0,1.0,9.0,9.0,100.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,6.0,6.0,4.0,11.25,0.0,0.0,6.0,7.0,3.0,11.0,0.0,8.9,1.4,3.51,2
1.5540416929896785,39.0,1.0,9054.731163613198,1.0,1.0,142.46330461152556,1.0,18.16258243835093,10.135332912165143,5.1217081490722505,2.4459583070103212,121.33787492103096,0.0,0.0,0.5540416929896785,0.44595830701032146,0.44595830701032146,0.44595830701032146,31.32425015793807,0.0,0.5540416929896785,5.554041692989679,12.67574984206193,4.662125078969035,1.43333333333333e+16,0.0,0.0,5.554041692989679,9.0,5.554041692989679,1.2652820673152922e+16,0.0,10.341870878082453,-0.024341629814449983,-0.2722256980330524,2
2.0,39.0,1.0,9147.0,1.0,1.0,139.37571912553994,1.0,37.0,37.0,9.0,9.0,128.81284851534184,0.9095245109478184,0.0,0.0,0.9095245109478184,0.0,0.0,31.361901956208726,0.0,0.0,5.0,8.0,3.0904754890521815,11.135713233578272,0.09047548905218161,0.0,5.0,8.909524510947818,2.271426467156545,11.527142646715655,0.0,7.762855880293927,2.2923833372225824,0.008764317660495013,1
2.0,39.0,1.0,9991.0,0.0,1.0,121.0,1.0,37.0,19.0,9.0,9.0,141.4,0.0,0.0,1.0,0.0,1.0,0.0,29.0,0.0,0.0,5.0,7.0,4.0,11.25,0.0,0.0,5.0,8.0,4.0,11.8,0.0,10.8,1.4,1.74,1
1.0,17.0,2.757291223985944,9773.0,1.0,1.0,119.19661402998243,1.0,37.43932280599648,37.43932280599648,3.0752596419754017,5.317968417989458,121.64223929559085,1.0,0.0,0.0,0.560677194003514,0.560677194003514,0.0,19.0,0.0,0.0,6.0,12.0,1.317968417989458,4.832550865961346,0.560677194003514,0.0,6.0,5.271873671957832,1.317968417989458,5.271873671957832,0.0,9.4,-0.8,-3.12,1
1.0,1.0,1.0,171.0,1.0,1.0,138.0,1.0,1.0,1.0,4.0,3.0,141.5,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,3
1.0,1.0,1.0,9085.0,1.0,1.0,138.0,1.0,1.0,3.0,9.0,1.0,123.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,1.0,6.0,14.0,6.0,1.55384615384615e+16,0.0,0.0,6.0,9.0,6.0,12625.0,0.0,15.5,2.8,-4.06,3
1.0,1.0,1.0,9147.0,1.0,1.0,151.0,1.0,1.0,38.0,4.0,7.0,137.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,5.0,5.0,13.4,0.0,0.0,5.0,5.0,5.0,15.0,0.0,8.9,1.4,3.51,3
